name,colorIdentity,colors,convertedManaCost,edhrecRank,keywords,power,subtypes,text,types
Abandon Hope,['B'],['B'],2.0,16321.0,nan,,[],"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards.",['Sorcery']
Abandon Reason,['R'],['R'],3.0,9765.0,['Madness'],,[],"Up to two target creatures each get +1/+0 and gain first strike until end of turn.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",['Instant']
Abandoned Outpost,['W'],[],0.0,15637.0,nan,,[],"Abandoned Outpost enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Abandoned Outpost: Add one mana of any color.",['Land']
Abbey Griffin,['W'],['W'],4.0,16435.0,"['Flying', 'Vigilance']",2,['Griffin'],"Flying, vigilance",['Creature']
Aberrant Mind Sorcerer,['U'],['U'],5.0,8684.0,nan,3,"['Human', 'Elf', 'Shaman']","Psionic Spells — When Aberrant Mind Sorcerer enters the battlefield, choose target instant or sorcery card in your graveyard, then roll a d20.
1—9 | You may put that card on top of your library.
10—20 | Return that card to your hand.",['Creature']
Aberrant Researcher // Perfected Form,['U'],['U'],4.0,18201.0,['Flying'],5,"['Insect', 'Horror']",Flying,['Creature']
Abhorrent Overlord,['B'],['B'],7.0,3138.0,['Flying'],6,['Demon'],"Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature.",['Creature']
Abjure,['U'],['U'],1.0,4230.0,nan,,[],"As an additional cost to cast this spell, sacrifice a blue permanent.
Counter target spell.",['Instant']
Abnormal Endurance,['B'],['B'],2.0,7505.0,nan,,[],"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",['Instant']
Abolish,['W'],['W'],3.0,8568.0,nan,,[],"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment.",['Instant']
Abominable Treefolk,"['G', 'U']","['G', 'U']",4.0,7442.0,['Trample'],*,['Treefolk'],"Trample
Abominable Treefolk's power and toughness are each equal to the number of snow permanents you control.
When Abominable Treefolk enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",['Creature']
Abomination of Gudul,"['B', 'G', 'U']","['B', 'G', 'U']",6.0,19374.0,"['Flying', 'Morph']",3,['Horror'],"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",['Creature']
