,name,uuid,rarity
0,Ancestor's Chosen,5f8287b1-5bb6-5f4c-ad17-316a40d5bb0c,uncommon
2,Angel of Mercy,57aaebc1-850c-503d-9f6e-bb8d00d8bf7c,uncommon
4,Angelic Blessing,55bd38ca-dc73-5c06-8f80-a6ddd2f44382,common
6,Angelic Chorus,3b77bb52-4181-57f5-b3cd-f3a15b95aa29,rare
7,Angelic Wall,fadda48c-6226-5ac5-a2b9-e9170d2017cd,common
9,Aura of Silence,fac6ad26-f8c2-51bd-9f6a-a1b0940b4cef,uncommon
10,Aven Cloudchaser,8ac972b5-9f6e-5cc8-91c3-b9a40a98232e,common
12,Ballista Squad,a69b404f-144a-5317-b10e-7d9dce135b24,uncommon
13,Bandage,6d268c95-c176-5766-9a46-c14f739aba1c,common
14,Beacon of Immortality,56f4935b-f6c5-59b9-88bf-9bcce20247ce,rare
15,Benalish Knight,62365fbb-af07-5c2a-976d-e3092bdfc317,common
17,"Cho-Manno, Revolutionary",81daea6a-2735-5a46-a2da-b65a2ad5738f,rare
18,Condemn,7fef665c-36a1-5f7a-9299-cf8938708710,uncommon
19,Demystify,2f9c211e-1869-5b3f-94ea-f73b7910a5af,common
20,Field Marshal,668c64a2-cecb-5f48-af16-d7a64814d3e7,rare
22,Ghost Warden,d68306e2-9877-5987-84b3-12b8234c8eec,common
23,Glorious Anthem,546eac7c-1424-597d-ac13-bf8558e88fe3,rare
24,Hail of Arrows,c19bcfc2-fc10-5040-8239-1c193098df47,uncommon
25,Heart of Light,36fcaa1e-64e3-56e3-950c-907db167e41f,common
27,High Ground,60f49caf-3583-5f85-b4b3-08dca73a8628,uncommon
28,Holy Day,02e23fa1-b2f0-528c-b331-12a0c27bc5eb,common
29,Holy Strength,4e4cbdec-e2d4-5f31-98a3-f2ef052c849d,common
31,Honor Guard,9bee1901-1125-5635-9e22-3b4f37989c37,common
32,Icatian Priest,cb865391-5b14-58ce-aa99-b36b83e6377f,uncommon
33,Kjeldoran Royal Guard,bb6e511d-3e7f-5dd3-b40c-dbeb09c734f7,rare
34,Loxodon Mystic,73e8c198-4ba4-5f42-9781-167150eae4be,common
35,Loyal Sentry,3f809288-0eaa-5f55-8144-483ed8ea810c,rare
36,Luminesce,efe6103c-6a3e-5ed0-a689-81a2efe4273b,uncommon
37,Mobilization,7f1bea50-20c0-51b3-8b2a-ac60f5d31133,rare
39,Nomad Mythmaker,5d53a06b-68a0-5d1a-a1a5-a676f16c23dd,rare
41,Pacifism,26fc6830-a092-5e24-9b58-97f4c38f3e7c,common
43,Paladin en-Vec,214dbfe9-0f16-5b6b-be30-8771192a89ec,rare
45,Pariah,7dff9ddf-213e-593d-a007-a72cf6ff925e,rare
47,Reviving Dose,39b50224-8305-56dd-9849-09deecb07d20,common
48,Reya Dawnbringer,6028cab2-0478-584b-a880-8174a88eb188,rare
50,Righteousness,9a14261a-b567-5429-a5ca-a913e15d8bf7,rare
51,Rule of Law,eee00aa2-c730-5ff1-84a9-51d95a9fe180,uncommon
52,Samite Healer,a2be2e9b-5211-53e6-ac6a-abd65dbcac1d,common
53,Serra Angel,be665b02-1cf2-50c6-8861-85da921bc853,rare
55,Serra's Embrace,fe9187fa-cd14-5618-9a62-bcf18b523d84,uncommon
57,Skyhunter Patrol,db398a18-0d81-50ba-bc86-a7de52a1be7f,common
59,Skyhunter Prowler,66993685-84dd-5143-9454-8a4028d10a6a,common
61,Skyhunter Skirmisher,261c0ce9-13d9-58e2-922b-d4068ff4d743,uncommon
63,Soul Warden,bcc70712-566e-5a6f-8d73-f1ab87c57454,uncommon
64,Spirit Link,a563f008-ed9f-5fc4-b6aa-1e68d63cb814,uncommon
66,Spirit Weaver,ae68e914-6896-5ee8-af5f-8ea88f5e0200,uncommon
67,Starlight Invoker,ecf2b08e-7eca-5f13-a9f7-7a915ee259f5,uncommon
68,Steadfast Guard,c81dca90-b0cf-5ce8-965c-8dbe5a55cc1b,common
70,Story Circle,b5bdfa8c-00ab-5b6a-b97a-ee77ffcbc4e9,rare
71,Suntail Hawk,6b754dda-9a6c-5762-ae67-8069101eb4d4,common
73,Tempest of Light,f44e0c48-1740-5e18-859f-4e4615f3a3b1,uncommon
74,Treasure Hunter,cfa41bcc-edea-53e6-8aec-e7f9d5d23089,uncommon
75,True Believer,46743f03-e0a4-5976-8d42-c3b698384b4e,rare
77,Tundra Wolves,94cb0244-f6ae-50c5-ba26-fd3f861c3bb0,common
79,Venerable Monk,8732b0a8-0c4e-5179-9855-d139dbad85c2,common
80,Voice of All,814b54df-221c-5fdb-a516-0fbd438b57a7,rare
82,Wall of Swords,fefca4a6-440f-56be-ba90-b8587c55d347,uncommon
84,Warrior's Honor,2bf3fff9-15c9-5cda-9a04-d0ea22180c77,common
85,Wild Griffin,75e792c1-d5d9-5712-9462-230fa196f861,common
87,Windborn Muse,556e35e6-ad67-51c6-8580-eda71597a507,rare
89,Wrath of God,3c0d065a-4aa4-55f4-bc11-bd326d23e5a6,rare
90,Youthful Knight,f4937944-9439-5887-85e0-fc3705243da8,common
92,Academy Researchers,b8a68840-4044-52c0-a14e-0a1c630ba42c,uncommon
93,Air Elemental,76ddd7f5-1a84-55d5-98f5-4883c217e0d8,uncommon
95,Ambassador Laquatus,29723d8d-34c9-5009-8b79-2c679e35f674,rare
96,Arcanis the Omnipotent,6f08f7f6-ecfb-584f-ae7a-c6e4d9c4da35,rare
97,Aura Graft,aeb1b742-645c-5dab-ba9b-35d51649e074,uncommon
98,Aven Fisher,758df5d5-992f-5d30-b6bc-87cb1a0788ab,common
100,Aven Windreader,d833c453-58c5-5ff6-91b2-f526ca5f808a,common
102,Boomerang,1aac00c8-3b6e-5bdd-9fde-6cfcbc7837c0,common
103,Cancel,cdc96814-2f52-5314-80ab-0cff2dcc5054,common
104,Cephalid Constable,9af574e4-dc6e-5246-8fe7-fee6c4c77a76,rare
105,Clone,8dfc67e9-8323-5d1f-9e25-9f9394abd5a0,rare
106,Cloud Elemental,596a7bd4-895b-5e7c-8124-373fd709444d,common
108,Cloud Sprite,fdbec3b3-f6f2-5149-a70a-4f9d2622a87b,common
110,Counsel of the Soratami,eb5c94c7-5494-5669-9c54-6f3672d65683,common
111,Crafty Pathmage,8d5f87fd-7a87-572b-bdce-303effec6b92,common
112,Dehydration,5a50a7e8-2ed1-5e8a-8867-c96f1186bd47,common
114,Deluge,a9a74d88-7663-5419-a74c-5a28e8642b4f,uncommon
115,Denizen of the Deep,f4ee3e9e-21da-5a63-8278-3efa59da7df3,rare
116,Discombobulate,e2066f75-65de-5254-82f2-8e1f969bf31b,uncommon
117,Dreamborn Muse,6f9ae90a-5638-5b88-a3d7-ccea4372eb79,rare
118,Evacuation,100f46ae-e457-5491-b5d1-66cd9284304c,rare
119,Flashfreeze,f90fe5cb-ee47-51f2-8a8c-3ced26f1b446,uncommon
120,Fog Elemental,5d45d146-5a42-502e-affb-71f3e81cf7e0,uncommon
122,Fugitive Wizard,4492a8f1-a2bf-581a-9ee0-e488f9241c88,common
123,Horseshoe Crab,4405f887-4eb7-5e3e-874d-1bfe79ec0ada,common
124,Hurkyl's Recall,5ac794d2-4c66-5332-afb1-54b24bc11823,rare
125,Lumengrid Warden,cb8e5b8f-706a-5b09-884e-ed32ceeec0fd,common
126,Mahamoti Djinn,404d6f98-eefb-5dea-8e81-aed2b5956437,rare
